Gradients:	0	12737304583	12753656857	12766644490	12777338679	12784348330	12783346668	12771006162	12752297491	12718054105	12636047516	12472142159	12144467851	11488994918	10178526714	7555609125	
0.64	0	0.3276	0.3167	0.2918	0.2443	0.1753	0.0937	0.0258	0.0064	0.0060	0.0158	0.0453	0.1229	0.2468	0.4489	0.5801	
0.66	0	0.2963	0.2837	0.2602	0.2154	0.1522	0.0785	0.0204	0.0046	0.0060	0.0133	0.0409	0.1031	0.2112	0.3714	0.4946	
0.68	0	0.2674	0.2535	0.2307	0.1891	0.1312	0.0654	0.0157	0.0046	0.0056	0.0116	0.0357	0.0885	0.1733	0.3012	0.4236	
0.70	0	0.2400	0.2252	0.2031	0.1649	0.1124	0.0540	0.0118	0.0055	0.0050	0.0105	0.0331	0.0777	0.1461	0.2454	0.3887	
0.72	0	0.2150	0.1990	0.1777	0.1430	0.0955	0.0447	0.0092	0.0052	0.0045	0.0096	0.0295	0.0705	0.1282	0.2051	0.3421	
0.74	0	0.1915	0.1749	0.1543	0.1228	0.0807	0.0367	0.0069	0.0046	0.0046	0.0095	0.0267	0.0591	0.1111	0.1758	0.3047	
0.76	0	0.1703	0.1527	0.1330	0.1046	0.0678	0.0299	0.0052	0.0034	0.0048	0.0090	0.0237	0.0540	0.0961	0.1433	0.2750	
0.78	0	0.1513	0.1331	0.1139	0.0885	0.0566	0.0243	0.0039	0.0030	0.0046	0.0085	0.0205	0.0457	0.0765	0.1089	0.2515	
0.80	0	0.1338	0.1155	0.0970	0.0745	0.0472	0.0196	0.0031	0.0028	0.0045	0.0083	0.0166	0.0370	0.0599	0.0816	0.2311	
0.82	0	0.1183	0.1002	0.0826	0.0627	0.0392	0.0158	0.0025	0.0028	0.0041	0.0067	0.0139	0.0302	0.0500	0.0587	0.2024	
0.84	0	0.1043	0.0868	0.0703	0.0528	0.0327	0.0127	0.0022	0.0025	0.0046	0.0074	0.0148	0.0261	0.0404	0.0394	0.1675	
0.86	0	0.0921	0.0752	0.0599	0.0446	0.0274	0.0101	0.0020	0.0026	0.0028	0.0056	0.0109	0.0184	0.0317	0.0253	0.1380	
0.88	0	0.0815	0.0654	0.0513	0.0379	0.0230	0.0081	0.0018	0.0030	0.0025	0.0042	0.0089	0.0140	0.0245	0.0170	0.1116	
0.90	0	0.0719	0.0570	0.0442	0.0323	0.0193	0.0064	0.0016	0.0030	0.0019	0.0037	0.0074	0.0106	0.0184	0.0110	0.0855	
0.92	0	0.0637	0.0498	0.0383	0.0276	0.0164	0.0051	0.0012	0.0028	0.0012	0.0033	0.0062	0.0065	0.0133	0.0072	0.0654	
0.94	0	0.0564	0.0437	0.0333	0.0238	0.0141	0.0041	0.0011	0.0029	0.0010	0.0028	0.0049	0.0042	0.0095	0.0049	0.0523	
0.96	0	0.0502	0.0386	0.0291	0.0206	0.0121	0.0033	0.0009	0.0027	0.0009	0.0023	0.0034	0.0026	0.0069	0.0034	0.0414	
0.98	0	0.0448	0.0341	0.0258	0.0180	0.0105	0.0026	0.0008	0.0025	0.0007	0.0019	0.0025	0.0020	0.0052	0.0017	0.0321	
1.00	0	0.0400	0.0304	0.0233	0.0157	0.0091	0.0021	0.0009	0.0021	0.0005	0.0015	0.0017	0.0012	0.0038	0.0010	0.0224	
